Name	GC-MF-9021-P-WCL-R1	GC-MF-9021-P-NUC-R1	GC-MF-9021-P-CYT-R1	GC-MF-9021-P-MEB-R1	GC-MF-9021-P-WCL-R2	GC-MF-9021-P-NUC-R2	GC-MF-9021-P-CYT-R2	GC-MF-9021-P-MEB-R2	GC-MF-9021-CA-WCL-R1	GC-MF-9021-CA-NUC-R1	GC-MF-9021-CA-CYT-R1	GC-MF-9021-CA-MEB-R1	GC-MF-9021-CA-WCL-R2	GC-MF-9021-CA-NUC-R2	GC-MF-9021-CA-CYT-R2	GC-MF-9021-CA-MEB-R2	
ENST00000517104.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459571.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516560.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000387069.1	0	0	0	0	0	0.346302	0	0	0	0.821789	0	0	0	0	54.82395	0	
ENST00000384093.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384273.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517143.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000458980.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000410160.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384491.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516162.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517217.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516196.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362599.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384388.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384208.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363343.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384545.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516710.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000410678.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384162.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363601.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516271.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384292.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365329.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516066.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364227.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516161.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362700.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000390980.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363929.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000458743.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362942.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364789.1	0	0	0	0	0	0	0	0	0	0	0	0.093973	0	0	0	0	
ENST00000408187.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517215.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000391014.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517006.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516107.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000410868.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364900.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365664.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365469.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459566.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000410727.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384429.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000408647.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384337.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384496.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516152.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384761.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516086.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000391043.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384453.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364426.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384420.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363314.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000577825.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000621409.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362659.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
